,num_iterations,before_NOF,after_NOF,delta_NOF,before_NOPF,after_NOPF,delta_NOPF,before_NOM,after_NOM,delta_NOM,before_NOPM,after_NOPM,delta_NOPM,before_LOC,after_LOC,delta_LOC,before_WMC,after_WMC,delta_WMC,before_NC,after_NC,delta_NC,before_DIT,after_DIT,delta_DIT,before_LCOM,after_LCOM,delta_LCOM,before_FANIN,after_FANIN,delta_FANIN,before_FANOUT,after_FANOUT,delta_FANOUT
Precision,2,10,10,0,2,2,0,22,25,-3,20,20,0,433,431,2,51,51,0,0,0,0,0,0,0,0.8636363636363636,0.84,0.023636363636363678,33,33,0,2,2,0
FastMath,12,62,71,-9,5,5,0,100,115,-15,80,80,0,3006,2995,11,369,360,9,0,0,0,0,0,0,0.39,0.3130434782608696,0.07695652173913042,253,253,0,8,9,-1
MathArrays,5,2,2,0,0,0,0,67,70,-3,63,62,1,1317,1304,13,191,185,6,0,0,0,0,0,0,0.6119402985074627,0.5714285714285714,0.04051172707889128,96,96,0,7,7,0
Array2DRowRealMatrix,3,2,2,0,0,0,0,31,37,-6,29,29,0,426,423,3,76,69,7,0,0,0,3,3,0,0.0967741935483871,0.1351351351351351,-0.03836094158674799,13,13,0,5,5,0
DescriptiveStatistics,7,15,16,-1,1,1,0,51,58,-7,51,51,0,547,592,-45,60,67,-7,1,1,0,1,1,0,0.0392156862745098,0.0517241379310344,-0.012508451656524595,3,3,0,5,5,0
SimplexSolver,3,4,4,0,0,0,0,7,7,0,3,3,0,166,166,0,30,30,0,0,0,0,2,2,0,0.2857142857142857,0.2857142857142857,0.0,0,0,0,0,0,0
