iter_no,Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT
0,java,org.apache.commons.math3.linear,Array2DRowRealMatrix,2,0,31,29,426,76,0,3,0.0967741935483871,13,5
1,java,org.apache.commons.math3.linear,Array2DRowRealMatrix,2,0,32,29,431,76,0,3,0.09375,13,5
2,java,org.apache.commons.math3.linear,Array2DRowRealMatrix,2,0,33,29,430,73,0,3,0.0909090909090909,13,5
3,java,org.apache.commons.math3.linear,Array2DRowRealMatrix,2,0,37,29,423,69,0,3,0.1351351351351351,13,5
